"GUIDE_A","GUIDE_B","GUIDE_C","GUIDE_D","RELTRAD","RELPER","IDEO","PARTY","WEIGHT","RELTRADlabels","PARTYlabels"
"Very important",2,2,2,1200,3,1,1,2248.7856813437,"Mainline Protestant","Republican"
"Not at all important",2,2,2,100000,4,5,3,7842.10609711124,"Religiously Unaffiliated","Independent"
"Not at all important",1,2,1,100000,4,5,2,3570.22728855113,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,10000,2,3,2,3352.164509572,"Catholic","Democrat"
"Extremely important",1,2,4,10000,1,2,1,14474.3085746727,"Catholic","Republican"
"Not at all important",2,3,2,100000,4,5,2,710.812626880017,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,100000,4,3,3,3051.01223507462,"Religiously Unaffiliated","Independent"
"Not at all important",1,1,1,100000,4,4,3,4260.18113160715,"Religiously Unaffiliated","Independent"
"Somewhat important",1,1,1,100000,3,4,3,5619.0088449944,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1200,2,3,3,862.932386625234,"Mainline Protestant","Independent"
"Somewhat important",1,1,1,100000,2,3,4,10320.5543705243,"Religiously Unaffiliated","Something else"
"Not at all important",1,1,1,50000,4,4,2,3565.2531093952,"Jewish","Democrat"
"Somewhat important",2,2,2,1100,3,3,3,3101.52721701556,"Evangelical Protestant","Independent"
"Very important",2,1,2,1200,2,1,1,4961.5769269318,"Mainline Protestant","Republican"
"Very important",2,2,2,100000,2,4,2,8991.24314788701,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1100,2,2,1,10263.0845149566,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1200,1,2,1,7082.62970418247,"Mainline Protestant","Republican"
"Extremely important",1,1,3,1200,2,2,1,1792.36939342419,"Mainline Protestant","Republican"
"Somewhat important",2,2,2,1200,3,3,4,1897.62376607984,"Mainline Protestant","Something else"
"Somewhat important",1,2,2,100000,3,3,1,6085.34981177953,"Religiously Unaffiliated","Republican"
"Not too important",1,1,1,100000,4,3,3,35764.7020648969,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1100,2,2,1,19485.5932413803,"Evangelical Protestant","Republican"
"Very important",1,1,1,1100,2,2,1,2793.24646409913,"Evangelical Protestant","Republican"
"Somewhat important",2,3,3,10000,2,4,2,3499.98184114477,"Catholic","Democrat"
"Not too important",2,2,2,100000,3,5,2,2301.74962481406,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,3,10000,1,1,1,9828.23125491038,"Catholic","Republican"
"Very important",2,1,2,1100,1,1,3,10615.3932516572,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,5,2,1876.64610794998,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,3,1100,2,3,1,5676.18653750827,"Evangelical Protestant","Republican"
"Very important",2,2,2,10000,2,3,3,3367.72225716869,"Catholic","Independent"
"Somewhat important",1,2,1,1200,3,5,2,2867.42950198545,"Mainline Protestant","Democrat"
"Not at all important",1,1,1,100000,4,3,2,18111.3873180059,"Religiously Unaffiliated","Democrat"
"Not at all important",1,2,3,100000,4,3,4,5333.02927835318,"Religiously Unaffiliated","Something else"
"Not too important",1,1,1,1200,2,3,4,3175.50324193372,"Mainline Protestant","Something else"
"Extremely important",1,1,1,100000,3,2,1,4731.82985999737,"Religiously Unaffiliated","Republican"
"Not too important",2,2,1,100000,4,5,4,9817.53665847636,"Religiously Unaffiliated","Something else"
"Extremely important",1,2,2,1100,1,2,1,6233.13032874755,"Evangelical Protestant","Republican"
"Somewhat important",2,2,2,1200,4,3,3,23052.6885675473,"Mainline Protestant","Independent"
"Very important",2,2,3,10000,2,1,3,34265.3455248354,"Catholic","Independent"
"Not too important",1,1,3,100000,4,3,3,8699.48925011203,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,2,1100,3,2,3,3405.3802806628,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,3,4,6450.90188168358,"Religiously Unaffiliated","Something else"
"Very important",1,2,2,1200,2,3,1,4072.26307549955,"Mainline Protestant","Republican"
"Somewhat important",1,3,1,50000,3,4,2,5165.19235412001,"Jewish","Democrat"
"Extremely important",3,2,3,1300,1,1,4,4498.11900218154,"Historically Black Protestant","Something else"
"Somewhat important",2,2,2,100000,4,3,3,11956.1400229499,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,4,1200,2,3,1,3881.93697703412,"Mainline Protestant","Republican"
"Extremely important",1,1,1,1100,1,3,2,9327.7128831705,"Evangelical Protestant","Democrat"
"Somewhat important",2,2,3,1100,3,3,2,1322.75844999881,"Evangelical Protestant","Democrat"
"Somewhat important",1,2,3,1200,2,3,1,3777.02677602517,"Mainline Protestant","Republican"
"Somewhat important",2,2,2,1200,3,3,3,12033.6562066567,"Mainline Protestant","Independent"
"Not too important",1,1,1,100000,4,4,2,2933.89545415613,"Religiously Unaffiliated","Democrat"
"Somewhat important",3,2,3,1200,2,2,1,3653.25417336457,"Mainline Protestant","Republican"
"Very important",2,2,2,1200,1,4,2,3031.97421198623,"Mainline Protestant","Democrat"
"Very important",1,1,1,100000,4,4,2,7137.39043316385,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,3,1200,2,3,2,6657.29686511064,"Mainline Protestant","Democrat"
"Extremely important",1,1,1,90002,4,4,4,4823.95578318059,"Other Faiths","Something else"
"Not too important",1,1,1,100000,3,3,4,8650.04196650594,"Religiously Unaffiliated","Something else"
"Very important",1,2,2,1100,1,2,3,3283.94196055524,"Evangelical Protestant","Independent"
"Very important",2,2,3,1200,1,4,2,2910.90811786391,"Mainline Protestant","Democrat"
"Somewhat important",2,2,2,1200,3,3,2,13191.9973794118,"Mainline Protestant","Democrat"
"Very important",2,2,3,1100,1,1,1,3519.55361559458,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,3,3,1773.92800367581,"Religiously Unaffiliated","Independent"
"Not too important",2,2,1,100000,4,4,2,3707.7542448393,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,3,1200,4,3,1,5661.18736621916,"Mainline Protestant","Republican"
"Extremely important",1,1,2,1100,2,2,3,2232.69718051154,"Evangelical Protestant","Independent"
"Somewhat important",3,2,3,100000,2,3,3,5506.71748663433,"Religiously Unaffiliated","Independent"
"Somewhat important",1,1,1,10000,3,3,2,1876.64610794998,"Catholic","Democrat"
"Extremely important",2,2,2,1100,1,3,3,6869.6226327616,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,5,2,7884.355832082,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,1,1100,2,1,1,3989.60681500677,"Evangelical Protestant","Republican"
"Extremely important",1,1,3,1300,2,3,1,31417.8736448492,"Historically Black Protestant","Republican"
"Extremely important",1,1,1,10000,2,3,3,5912.39399942465,"Catholic","Independent"
"Extremely important",4,2,2,1100,1,3,1,7552.79405428549,"Evangelical Protestant","Republican"
"Not at all important",1,1,2,100000,4,3,2,7250.51359714366,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,2,1200,2,3,3,1115.13087754752,"Mainline Protestant","Independent"
"Not too important",2,1,2,1100,3,3,1,12014.4156928215,"Evangelical Protestant","Republican"
"Somewhat important",3,3,3,1200,2,4,2,5980.18658080968,"Mainline Protestant","Democrat"
"Not too important",1,1,1,100000,4,4,2,1951.52369366053,"Religiously Unaffiliated","Democrat"
"Very important",2,1,2,10000,1,2,1,1319.03688307921,"Catholic","Republican"
"Not at all important",2,2,2,1100,3,3,1,5875.69856233084,"Evangelical Protestant","Republican"
"Not too important",1,2,2,100000,3,4,2,35914.6147155346,"Religiously Unaffiliated","Democrat"
"Not at all important",2,2,2,100000,4,5,2,1400.96226590402,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,2,1100,2,2,1,1108.56114884015,"Evangelical Protestant","Republican"
"Not too important",1,1,1,1100,3,4,2,6615.37617471063,"Evangelical Protestant","Democrat"
"Very important",1,1,1,10000,2,2,1,7710.89410550373,"Catholic","Republican"
"Somewhat important",1,1,3,1100,1,2,1,3505.97364210692,"Evangelical Protestant","Republican"
"Very important",2,2,2,100000,3,5,2,5525.21872171964,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,3,2,1,23941.7246089394,"Religiously Unaffiliated","Republican"
"Somewhat important",2,2,2,1100,2,4,3,7232.02032370352,"Evangelical Protestant","Independent"
"Somewhat important",2,2,1,1200,2,4,2,3085.30331638524,"Mainline Protestant","Democrat"
"Not too important",1,1,2,100000,3,3,4,7969.620102431,"Religiously Unaffiliated","Something else"
"Not too important",1,2,1,100000,3,5,3,2573.12546581889,"Religiously Unaffiliated","Independent"
"Not at all important",1,2,1,100000,4,4,2,7159.05864095118,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,1,1,10000,4,3,4,13886.1298978903,"Catholic","Something else"
"Not too important",1,1,1,90001,3,5,2,5424.99690977906,"Other World Religions","Democrat"
"Somewhat important",2,2,2,100000,2,3,1,23105.7465086564,"Religiously Unaffiliated","Republican"
"Not too important",1,1,1,1200,3,4,3,9971.89113993054,"Mainline Protestant","Independent"
"Not at all important",2,1,1,100000,4,4,2,5466.76053678511,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,1100,4,3,3,11043.3748341709,"Evangelical Protestant","Independent"
"Somewhat important",1,1,2,100000,4,2,1,2193.27298050053,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,2,100000,3,3,1,3704.96017776677,"Religiously Unaffiliated","Republican"
"Very important",2,2,3,1100,1,1,1,4495.91442187757,"Evangelical Protestant","Republican"
"Extremely important",1,1,1,10000,3,5,2,4375.00092989185,"Catholic","Democrat"
"Not too important",1,1,3,100000,4,2,1,2275.54094158357,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,3,1100,2,3,3,8493.46700753846,"Evangelical Protestant","Independent"
"Somewhat important",1,1,1,100000,2,4,2,4260.18113160715,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,50000,3,4,2,3233.28643885659,"Jewish","Democrat"
"Extremely important",1,1,1,80000,1,5,1,26778.0202091789,"Hindu","Republican"
"Somewhat important",1,2,2,50000,3,3,3,226.235106160877,"Jewish","Independent"
"Very important",1,1,2,70000,3,5,2,1660.50421599993,"Buddhist","Democrat"
"Very important",1,1,2,1100,2,2,3,8935.05760040336,"Evangelical Protestant","Independent"
"Somewhat important",2,2,3,100000,2,1,4,9401.00067618285,"Religiously Unaffiliated","Something else"
"Not too important",2,2,2,1200,3,4,2,803.056441672521,"Mainline Protestant","Democrat"
"Very important",2,2,3,10000,2,3,2,10642.4086470024,"Catholic","Democrat"
"Somewhat important",1,1,1,10000,2,3,2,7152.78997863536,"Catholic","Democrat"
"Somewhat important",2,1,1,100000,4,4,4,1763.7832472319,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,1,50000,4,3,2,3133.61071404412,"Jewish","Democrat"
"Extremely important",2,3,3,1100,1,1,1,3480.34083351606,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,5,2,3332.75866794021,"Religiously Unaffiliated","Democrat"
"Very important",2,2,1,1200,2,3,3,1828.09743330213,"Mainline Protestant","Independent"
"Somewhat important",2,2,2,10000,2,3,2,9406.55141664943,"Catholic","Democrat"
"Somewhat important",1,2,2,10000,2,3,2,2785.69604924676,"Catholic","Democrat"
"Extremely important",2,2,2,1100,1,3,2,4879.03038962905,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,100000,4,4,2,8799.67440879273,"Religiously Unaffiliated","Democrat"
"Extremely important",1,2,1,20000,2,2,3,13431.0721000986,"Mormon","Independent"
"Somewhat important",1,1,1,90002,4,3,3,3828.550558046,"Other Faiths","Independent"
"Somewhat important",3,2,2,1200,2,3,2,6123.43176262628,"Mainline Protestant","Democrat"
"Not too important",2,2,2,10000,3,2,1,5345.87164594975,"Catholic","Republican"
"Not at all important",1,1,1,100000,4,4,4,4191.29354070221,"Religiously Unaffiliated","Something else"
"Very important",2,2,2,1100,2,2,1,5731.20616163584,"Evangelical Protestant","Republican"
"Extremely important",2,2,2,10000,1,2,1,28323.3220996209,"Catholic","Republican"
"Very important",2,2,3,1100,2,2,3,10543.9993764067,"Evangelical Protestant","Independent"
"Somewhat important",1,1,1,1200,1,4,4,5897.2959167573,"Mainline Protestant","Something else"
"Extremely important",1,1,1,1200,2,2,1,3969.11614516668,"Mainline Protestant","Republican"
"Very important",2,1,2,10000,1,3,3,242.205127248536,"Catholic","Independent"
"Extremely important",1,1,3,1300,3,2,3,5986.78143116969,"Historically Black Protestant","Independent"
"Somewhat important",2,2,2,1200,3,3,3,5554.46408760373,"Mainline Protestant","Independent"
"Extremely important",2,2,2,20000,1,1,1,2560.21273092163,"Mormon","Republican"
"Somewhat important",1,1,3,100000,3,3,3,50275.1783067928,"Religiously Unaffiliated","Independent"
"Somewhat important",2,3,2,10000,2,4,2,2644.28720468094,"Catholic","Democrat"
"Very important",2,2,2,1300,1,3,2,3323.78148442648,"Historically Black Protestant","Democrat"
"Somewhat important",1,1,1,1200,3,3,1,2351.46049434008,"Mainline Protestant","Republican"
"Extremely important",2,1,2,1100,1,2,1,2498.95026934253,"Evangelical Protestant","Republican"
"Somewhat important",2,1,1,1200,2,3,1,7711.90757453054,"Mainline Protestant","Republican"
"Very important",2,1,2,1100,2,2,1,11015.4181269537,"Evangelical Protestant","Republican"
"Somewhat important",2,2,2,100000,2,4,2,4856.46798609325,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,2,10000,1,2,3,3800.33508602548,"Catholic","Independent"
"Not at all important",2,2,2,100000,4,2,2,1549.76672699485,"Religiously Unaffiliated","Democrat"
"Very important",1,1,3,10000,1,3,1,21588.4674107698,"Catholic","Republican"
"Very important",1,1,2,1100,2,1,4,37446.0782928663,"Evangelical Protestant","Something else"
"Extremely important",2,1,5,100000,1,1,4,13878.0385811445,"Religiously Unaffiliated","Something else"
"Very important",1,1,1,1200,3,2,1,9288.59902485701,"Mainline Protestant","Republican"
"Somewhat important",2,1,2,1200,2,3,3,4701.49626035792,"Mainline Protestant","Independent"
"Not too important",1,3,1,100000,4,3,3,3433.92334934045,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,3,1100,1,2,1,6028.04212234555,"Evangelical Protestant","Republican"
"Very important",5,1,5,1100,2,3,2,3193.75697882638,"Evangelical Protestant","Democrat"
"Somewhat important",1,1,3,1200,2,2,3,2512.65695464042,"Mainline Protestant","Independent"
"Extremely important",1,2,1,90002,3,3,4,14910.850176746,"Other Faiths","Something else"
"Very important",1,1,1,10000,1,2,1,1280.29283406772,"Catholic","Republican"
"Very important",2,2,2,1100,2,4,2,6967.16877703635,"Evangelical Protestant","Democrat"
"Somewhat important",1,2,3,10000,3,2,1,1761.94402624791,"Catholic","Republican"
"Extremely important",1,1,1,1300,2,4,2,7042.7030881283,"Historically Black Protestant","Democrat"
"Very important",1,1,3,10000,1,3,2,16053.2101891926,"Catholic","Democrat"
"Not at all important",1,1,1,90002,4,4,3,1316.36476928673,"Other Faiths","Independent"
"Very important",3,2,2,1300,3,4,4,20703.8488808111,"Historically Black Protestant","Something else"
"Very important",1,1,1,80000,2,3,3,8781.77117889887,"Hindu","Independent"
"Not at all important",1,1,1,1200,3,5,2,9592.73503699102,"Mainline Protestant","Democrat"
"Extremely important",1,1,3,20000,1,1,1,30310.4417407684,"Mormon","Republican"
"Extremely important",1,1,3,1100,1,1,3,6979.58423262736,"Evangelical Protestant","Independent"
"Somewhat important",1,2,1,100000,3,5,2,6850.3543587302,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,100000,4,4,3,4199.11443995792,"Religiously Unaffiliated","Independent"
"Very important",1,1,2,1200,2,2,3,4081.40388479337,"Mainline Protestant","Independent"
"Extremely important",2,1,2,10000,3,4,3,7122.15756549575,"Catholic","Independent"
"Somewhat important",3,2,3,1100,2,2,1,28211.0782945726,"Evangelical Protestant","Republican"
"Very important",2,2,2,1200,1,3,2,2991.5547327607,"Mainline Protestant","Democrat"
"Extremely important",2,2,2,1100,1,2,3,1882.04261490084,"Evangelical Protestant","Independent"
"Extremely important",2,2,3,1100,1,2,4,10831.5325538546,"Evangelical Protestant","Something else"
"Extremely important",1,1,2,10000,3,3,3,10998.2289268228,"Catholic","Independent"
"Somewhat important",2,1,3,1200,2,4,2,2384.62151675163,"Mainline Protestant","Democrat"
"Extremely important",1,1,1,10000,1,1,1,3634.72062998679,"Catholic","Republican"
"Extremely important",2,1,3,1100,1,2,1,5908.0211649349,"Evangelical Protestant","Republican"
"Not too important",2,2,1,100000,4,3,2,1364.66494636564,"Religiously Unaffiliated","Democrat"
"Not at all important",2,1,2,100000,4,3,3,4237.15511607898,"Religiously Unaffiliated","Independent"
"Extremely important",3,1,2,40001,1,1,4,7772.87403794212,"Jehovah's Witness","Something else"
"Very important",2,1,2,1100,2,2,2,2601.60849683596,"Evangelical Protestant","Democrat"
"Somewhat important",1,1,2,90002,2,3,3,23405.9265800561,"Other Faiths","Independent"
"Extremely important",1,2,3,1300,1,3,4,28404.7223975243,"Historically Black Protestant","Something else"
"Not too important",3,2,3,10000,3,2,1,3129.4158239957,"Catholic","Republican"
"Extremely important",1,1,3,1100,1,2,1,3136.23489727682,"Evangelical Protestant","Republican"
"Very important",4,1,4,1100,2,1,1,4163.54194348115,"Evangelical Protestant","Republican"
"Somewhat important",2,2,1,1200,2,4,3,1858.95531630768,"Mainline Protestant","Independent"
"Very important",2,2,3,1100,2,2,4,22882.6993031984,"Evangelical Protestant","Something else"
"Not too important",1,1,1,1200,3,4,2,6401.05189921761,"Mainline Protestant","Democrat"
"Very important",2,2,3,1300,2,3,1,13402.202722703,"Historically Black Protestant","Republican"
"Extremely important",3,3,3,1100,1,2,1,4515.34402306969,"Evangelical Protestant","Republican"
"Very important",1,1,1,1200,2,2,1,2119.3059645087,"Mainline Protestant","Republican"
"Somewhat important",1,1,1,10000,2,3,4,18483.4644580008,"Catholic","Something else"
"Not too important",2,2,2,100000,3,4,3,8266.58532460635,"Religiously Unaffiliated","Independent"
"Not too important",2,1,1,100000,4,4,2,1314.17445769379,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,10000,1,5,2,12257.4056275273,"Catholic","Democrat"
"Extremely important",2,1,2,1200,1,4,2,471.472459231739,"Mainline Protestant","Democrat"
"Extremely important",1,1,3,1100,2,4,3,11345.1119170745,"Evangelical Protestant","Independent"
"Not too important",1,1,2,100000,4,4,2,1413.09473040699,"Religiously Unaffiliated","Democrat"
"Very important",2,2,2,100000,3,3,1,9156.26215945022,"Religiously Unaffiliated","Republican"
"Very important",2,2,2,1100,1,2,1,11109.0952078328,"Evangelical Protestant","Republican"
"Extremely important",1,1,2,1100,1,1,1,1210.37231218049,"Evangelical Protestant","Republican"
"Somewhat important",1,1,3,100000,2,4,2,1334.28575197399,"Religiously Unaffiliated","Democrat"
"Somewhat important",1,2,1,100000,4,4,2,803.056441672521,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,1,100000,4,3,2,1625.18169763963,"Religiously Unaffiliated","Democrat"
"Not too important",2,2,3,80000,3,4,3,15887.0357473047,"Hindu","Independent"
"Extremely important",1,1,1,1100,1,1,1,5234.18136189597,"Evangelical Protestant","Republican"
"Extremely important",2,1,2,20000,1,1,1,3611.42229852833,"Mormon","Republican"
"Extremely important",1,1,4,1200,2,1,1,941.599688358777,"Mainline Protestant","Republican"
"Not too important",1,2,2,1100,4,3,3,5233.06608379204,"Evangelical Protestant","Independent"
"Not too important",2,2,2,1200,3,4,2,4981.59355219565,"Mainline Protestant","Democrat"
"Very important",1,1,3,1100,2,2,1,5898.84426462682,"Evangelical Protestant","Republican"
"Not at all important",1,1,2,1200,4,2,1,3884.76366783559,"Mainline Protestant","Republican"
"Very important",2,2,2,10000,2,5,2,3523.1737328019,"Catholic","Democrat"
"Extremely important",1,1,1,1100,2,3,2,4230.97223884494,"Evangelical Protestant","Democrat"
"Somewhat important",2,2,3,1300,2,1,1,9042.276399169,"Historically Black Protestant","Republican"
"Very important",2,1,1,70000,3,4,2,11474.656992618,"Buddhist","Democrat"
"Very important",1,1,1,1100,2,4,2,2655.69592710209,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,100000,3,1,1,748.06151595683,"Religiously Unaffiliated","Republican"
"Very important",2,2,3,1100,2,2,1,5358.89846095927,"Evangelical Protestant","Republican"
"Somewhat important",2,3,3,100000,3,1,2,3378.65236436162,"Religiously Unaffiliated","Democrat"
"Extremely important",3,2,3,1100,2,3,2,16293.0372958201,"Evangelical Protestant","Democrat"
"Somewhat important",1,2,1,70000,2,5,3,6531.27253835635,"Buddhist","Independent"
"Not at all important",2,2,3,100000,4,5,2,5746.3618497326,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,2,100000,4,2,1,1839.07873131569,"Religiously Unaffiliated","Republican"
"Very important",1,1,3,10000,2,4,2,496.295241353373,"Catholic","Democrat"
"Somewhat important",2,2,2,10000,3,3,4,5635.79392682805,"Catholic","Something else"
"Extremely important",1,1,3,1300,2,3,2,1437.8139565274,"Historically Black Protestant","Democrat"
"Very important",2,1,3,1100,2,3,3,3280.06564313723,"Evangelical Protestant","Independent"
"Very important",2,2,2,1300,3,3,2,6530.96815696962,"Historically Black Protestant","Democrat"
"Not at all important",1,1,1,100000,4,5,2,8977.31034372437,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,100000,3,4,2,1178.78146650899,"Religiously Unaffiliated","Democrat"
"Somewhat important",4,2,3,100000,4,5,1,6490.05586506103,"Religiously Unaffiliated","Republican"
"Not at all important",2,2,2,100000,4,3,3,3491.3113092143,"Religiously Unaffiliated","Independent"
"Somewhat important",1,1,1,1100,3,2,3,2768.64774590189,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,4,2,1590.66200556155,"Religiously Unaffiliated","Democrat"
"Not at all important",1,1,3,100000,4,2,1,2201.7931053744,"Religiously Unaffiliated","Republican"
"Extremely important",2,2,2,1100,1,3,3,2222.89461746784,"Evangelical Protestant","Independent"
"Not at all important",1,1,1,100000,4,4,2,9245.14601726433,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,80000,3,4,2,17514.6100085558,"Hindu","Democrat"
"Very important",2,2,2,1300,2,3,2,5423.03917981092,"Historically Black Protestant","Democrat"
"Somewhat important",3,2,2,100000,3,3,4,13804.6281540001,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,3,1100,2,2,3,3506.32740061832,"Evangelical Protestant","Independent"
"Somewhat important",2,1,2,50000,2,4,2,3773.11788778123,"Jewish","Democrat"
"Not too important",1,1,1,100000,4,3,3,4478.28048214834,"Religiously Unaffiliated","Independent"
"Somewhat important",3,2,3,1200,2,2,1,659.565608836721,"Mainline Protestant","Republican"
"Extremely important",1,1,1,100000,3,3,4,12446.7914088943,"Religiously Unaffiliated","Something else"
"Very important",1,2,2,1100,2,3,3,6015.5854167772,"Evangelical Protestant","Independent"
"Very important",1,1,2,70000,3,3,2,25624.0400052072,"Buddhist","Democrat"
"Very important",2,2,2,1100,1,3,2,5227.1715710379,"Evangelical Protestant","Democrat"
"Extremely important",1,1,2,1200,1,3,1,1276.95981668964,"Mainline Protestant","Republican"
"Not at all important",5,5,5,20000,3,3,4,1546.91262834632,"Mormon","Something else"
"Not at all important",2,2,2,100000,3,4,4,1623.93425304375,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,3,40002,2,1,1,11189.9450117205,"Other Christian","Republican"
"Not too important",2,1,2,100000,3,3,2,10519.3548542508,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,3,4,1200,2,2,1,4880.18346003826,"Mainline Protestant","Republican"
"Not at all important",1,1,1,100000,4,4,2,2216.41996115037,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,3,1100,2,1,1,11184.9890406824,"Evangelical Protestant","Republican"
"Very important",3,2,2,1200,3,3,2,16751.4938530704,"Mainline Protestant","Democrat"
"Very important",2,2,1,10000,1,3,3,4490.06687151859,"Catholic","Independent"
"Not at all important",2,2,2,50000,4,5,2,3984.35062959917,"Jewish","Democrat"
"Extremely important",2,1,4,1100,1,2,1,6091.79663086208,"Evangelical Protestant","Republican"
"Somewhat important",1,1,2,100000,3,3,2,4237.15511607898,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,2,2,100000,4,3,3,7123.00713241417,"Religiously Unaffiliated","Independent"
"Not at all important",1,2,1,100000,4,3,2,3885.68999650709,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,2,2,100000,4,2,1,8801.01190257268,"Religiously Unaffiliated","Republican"
"Somewhat important",1,2,2,1100,3,3,3,2005.53043132611,"Evangelical Protestant","Independent"
"Somewhat important",3,3,3,10000,3,3,4,17992.4858288526,"Catholic","Something else"
"Somewhat important",2,2,2,100000,4,5,2,10481.0779044337,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,2,1100,1,3,2,2772.60737843173,"Evangelical Protestant","Democrat"
"Extremely important",1,1,1,1200,1,1,3,1154.36702449464,"Mainline Protestant","Independent"
"Somewhat important",1,1,2,100000,4,2,1,7589.43290208385,"Religiously Unaffiliated","Republican"
"Extremely important",2,1,1,1200,2,1,2,6854.20198361462,"Mainline Protestant","Democrat"
"Somewhat important",1,1,3,1200,2,2,1,4397.55882330642,"Mainline Protestant","Republican"
"Very important",2,2,2,1100,3,3,3,3923.97208062295,"Evangelical Protestant","Independent"
"Very important",1,1,2,1100,3,3,2,1771.6313197052,"Evangelical Protestant","Democrat"
"Not at all important",1,1,1,100000,4,3,4,1957.34615665265,"Religiously Unaffiliated","Something else"
"Not at all important",1,2,1,1200,3,3,1,5342.63633394935,"Mainline Protestant","Republican"
"Extremely important",1,1,1,1100,1,1,4,48121.4697013707,"Evangelical Protestant","Something else"
"Somewhat important",3,1,1,100000,2,4,2,8637.29358860777,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,4,1200,2,3,1,934.794595398864,"Mainline Protestant","Republican"
"Extremely important",1,1,3,1100,1,1,1,8802.46959222979,"Evangelical Protestant","Republican"
"Not too important",1,1,1,90002,4,1,3,21567.1533929167,"Other Faiths","Independent"
"Somewhat important",1,1,2,10000,2,3,1,7565.6090627182,"Catholic","Republican"
"Extremely important",2,1,2,1100,1,2,2,6964.14664995178,"Evangelical Protestant","Democrat"
"Not at all important",1,1,2,90002,3,5,3,5089.97422729732,"Other Faiths","Independent"
"Extremely important",2,2,2,1100,1,3,3,3188.62425267405,"Evangelical Protestant","Independent"
"Very important",2,1,1,100000,3,4,2,1085.20502392235,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,3,1100,2,2,1,5844.6110800538,"Evangelical Protestant","Republican"
"Not too important",2,2,2,100000,3,3,2,26356.7190691316,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,100000,4,3,4,6500.94174338241,"Religiously Unaffiliated","Something else"
"Extremely important",1,1,2,1100,1,3,2,12759.020795775,"Evangelical Protestant","Democrat"
"Somewhat important",2,2,3,1300,3,3,3,10056.5922046729,"Historically Black Protestant","Independent"
"Not too important",2,1,2,100000,4,4,2,2789.76744992486,"Religiously Unaffiliated","Democrat"
"Very important",1,1,1,60000,1,5,2,15887.0357473047,"Muslim","Democrat"
"Extremely important",1,1,2,1100,1,1,1,3248.40189662428,"Evangelical Protestant","Republican"
"Extremely important",1,2,3,1100,1,1,1,1869.07649127913,"Evangelical Protestant","Republican"
"Very important",1,1,2,10000,2,2,2,1859.75267079342,"Catholic","Democrat"
"Extremely important",1,1,2,1100,1,3,1,10803.3269528858,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,5,2,2462.64198236006,"Religiously Unaffiliated","Democrat"
"Not too important",1,1,1,100000,4,4,2,1146.22328411467,"Religiously Unaffiliated","Democrat"
